lexeme_id,ex_zhh,ex_chs,ex_en
L7,你噶愛好又几𠮩𠹌個窩,你的爱好还蛮刁钻的,Your hobbies are quite peculiar.
L7,呢個打扮夠晒旖旎,这个穿搭足够奇怪,This outfit is strange enough.
L7,乜你咁撈絞咖,怎么你这么乱糟糟,Why are you so messy?
L7,你有少少旖旎,你有一点奇怪的癖好,You have a few strange quirks
L8,係噉嘅…,是这样的…,In this way
L8,噉呀~噉好啦~,这样啊~那好吧,"Well~then,ok~"
L8,點解會係噉嘅？,为什么会这样,Why is this happening?
L8,噉样嘅话咪好蚀底咯,这样的话岂不是很吃亏,Wouldn't that be a huge loss?
L8,一啖噉吞落去,一口吞下去,Swallow in one gulp
L8,噉都得？,这样也可以？,Is this okay?
L8,幾得意噉喎,好像挺可爱,It seems interesting.
L8,幫我食噉啲飯吖,你能帮我把剩下的米饭吃完吗,Could you help me finish up my serving of rice?
L8,而家已經走噉啲人喇,已经有不少人开始离开了。,A number of people already start leaving.
L8,着到成隻雀噉,衣着考究；字面意思：穿得像只鸟,To be well-dressed; literally: to wear like a bird
L8,四萬噉口 ,用来形容一张笑容灿烂的脸,Used to describe a broadly smiling face
L8,佢對我咁好，噉我喺咪要嫁俾佢？,他对我这么好，那么我是要嫁给他？,"He's so good to me, so should I marry him?"
L8,大聲噉講嘢,说话很大声,Speaking very loudly
L8,喂，你唔好噉喔,喂，你别这样啊,"Hey, please don't do this."
L8,少噉個位,仍然缺少座位,Still to lack a seat
L8,噉即唔係,那就不是,That's not it.
L8,噉又唔得,那又不行,That won't work.
L8,噉好咯,那好吧,Okay!
L8,噉又係,那样也是；这样也对                              ,That's also
L9,佢對我咁好，噉我喺咪要嫁俾佢？,他对我这么好，那么我是要嫁给他？,"He's so good to me, so should I marry him?"
L9,咁便,这么便宜,So cheap
L9,咁贵嘅？,这么贵的？,So expensive?
L9,咁靓仔,这么帅,So handsome
L9,傻到閪咁,你这个做法太愚蠢了，我拿你没办法了,That's so stupid.
L9,烦到閪咁,现在很烦恼，不知道该怎么办,I'm really troubled right now and I don't know what to do.
L9,捞到閪咁,感觉你很土，很非主流又低俗,So cheap
L9,咁啊,这样啊；一般说完在思考,"I know,I know; usually, one thinks after speaking."
L9,做乜咁嗟,干嘛这样,Why do this?
L9,做乜咁嘅,怎么这样,How could this be?
L9,猛咁𢫨,使劲推,Push hard
L9,咁多人嘅？,怎么这么多人？,Why is it so crowded?
L9,人情紙咁薄,人与人之间的关系中，人性的尊严十分罕见；毫不夸张地说，“人性的尊严薄如纸”,"Human decency is rare in relationships between people; literally ""human decency is as thin as paper"
L9,七國咁亂 ,一片混乱；彻底的混乱；字面意思：如同七国时代般混乱。,"A state of utter chaos; complete chaos; literally, as chaotic as the Warring States period."
L9,鬼火咁靚,看起来美极了,Looks stunning 
L9,咁大隻蛤乸隨街跳,不合理，不敢相信，,Something too good to be true
L9,咁耐以嚟,这么久以来；到目前为止；直到现在,So far; until now
L9,嗰碌棍好似青瓜咁粗,那根棍子像黄瓜一样粗。,That stick was as thick as a cucumber.
L9,咁惊做咩嗟,这么怕干嘛,Why are you so afraid?
L10,咁你想我點呀？,你想我怎样？,So what do you want me to do?
L10,噉點得啊,这怎么行,This won't do.
L10,佢生得點呀,他/她长成什么样,What does he/she look like?
L10,點算好/點好,怎办才好,What should I do?
L10,點话點好,你说什么就什么,Whatever you say.
L10,噉點呀？,那又怎么样？；不礼貌很拽,Okay
L10,點都得,怎么样都可以,Anything ok
L10,點撚樣,怎么样啊？（表示不耐烦）,"How's it going? (Expressing impatience)"
L10,點閪樣,怎么样啊？（表示想快点解决）,How's it going? (Indicating a desire for a quick resolution)
L10,件衫點著,这件衣服怎么穿,How to wear this outfit?
L11,你睇，邊個明星咁多保镖，洗唔洗咁緊要啊,你看，是哪个明星需要那么多个保镖啊，需要那么夸张吗,"Look, which celebrity needs so many bodyguards? Is it really necessary to go to such lengths?"
L11,唔緊要,没关系,It doesn't matter
L11,緊要過我,比我还重要,More important than me
L11,救人要緊,救人最重要,Saving lives is the most important thing
L11,凍得好緊要,冷的很夸张,Is so cold
L11,操得緊要得滯,健身健得比较厉害,He's pretty good at working out.
L11,橋唔怕舊，至緊要受,想法不怕落后，最重要有人接受,Old tricks are not cliché as long as the other person likes it.
L11,劲得咁交關,强得可怕,Terrifyingly strong
L12,食物質素有返咁上下,食物质量还行,The food quality was okay.
L12,係咁上下,大概就是这么样，差不多就是这样,That's about it.
L12,呢架嘢都有返咁上下重量?,这东西有一定的重量,This thing is quite heavy.
L12,差唔多好走啦,时间差不多了，要走了,It's time to go
L13,邊有咁大隻蛤乸隨街跳,哪有免费午餐,There's no such thing as a free lunch.
L13,咁大隻蛤乸隨街跳？冇咁简单噶,这么容易/这么好/这么优惠？没那么简单的,Is it that easy/good/affordable? It's not that simple.
L13,邊有咁好死,哪有免费午餐,There's no such thing as a free lunch.
L13,咁柒着數？唔撚係啊嘛,这么好？不是吧,That's really good? No way!
L13,柒都唔信咁着數？,我不信有免费午餐,I don't believe in free lunches.
L14,又会咁啱得咁蹺嘅？,这么巧合,What a coincidence
L14,個世界真係細,世界真小！,What a small world！
L14,又会咁蹺嘅？,怎么这么巧；感叹怎么这么巧,What are the odds？
L14,乜咁啱啊,怎么这么巧,What a coincidence!
L14,我啱諗住整對波鞋，跟住我睇啱果對打折，真系啱晒,我正想买一双新运动鞋，然后就看到我想要的那双在打折。太巧了！,"I was just thinking about getting a new pair of sneakers, and then I saw the exact ones I wanted on sale. What a coincidence!"
L14,咦 乜咁啱嘅?,咦 怎么这么巧?,What a coincidence!
L14,咁錯蕩嘅,怎么这么巧；形容这么有空过来我这里坐坐,What a coincidence; describing someone having so much free time to come and sit down here.
L15,咁多人跳楼唔見你跳楼,这么多人死不见你死；跳楼可以换任何死法,"So many people have died, but you haven't; jumping off a building can lead to any kind of death."
L15,咁多人死唔見你死，行撚開啦,这么多人死不见你死，滚开吧,So many people have died but you haven't. Get out of my way!
L15,點解咁多人死唔見你死噶,为什么这么多人死不见你死,Why are so many people dead but you are not?
L15,你真係好撚死得意嘅喈,你真的好他妈的可爱,You're so f*cking cute.
L15,你真係好撚柒得意嘅喈,你真的好他妈的可爱,You're so f*cking cute.
L16,有得走后門你仲咁搏命？,有捷径不走偏要辛苦自己,"Instead of taking the shortcut, you choose to work hard."
L16,咁柒近城隍廟都唔求支好籤,有大神在旁边都不会把握机会,To fail to take advantage of an opportunity
L16,咁鳩近城隍廟都唔求支好籤,有大神在旁边都不会把握机会,To fail to take advantage of an opportunity
L16,咁鳩近城隍廟都唔撚求支好嘢,有大神在旁边都不会把握机会,To fail to take advantage of an opportunity
L17,咁柒大個都唔化,这么大一个人别他妈的不开通；歇后语,Stubborn to the end
L17,咁撚大個都唔化,这么大一个人别他妈的不开通；歇后语,Stubborn to the end
L17,咁鳩大個都唔化,这么大一个人别他妈的不开通；歇后语,Stubborn to the end
L17,咁鳩大個都唔鳩撚柒化,这么大一个人别他妈的不开通；歇后语,Stubborn to the end
L17,咪咁盟塞啦,别这么古板啊，说又不听,"Don't be so old-fashioned, you never listen to me."
L17,硬鳩頸,别这么古板啊，说又不听,"Don't be so old-fashioned, you never listen to me."
L17,古老石山,行事想法落后，不接受新事物的人,"Old-fashioned person; literally, ""ancient potted rocky mountain"""
L17,大個仔喇，唔好咁閪封建,这么大一个人了，不要那么封建,"You're a grown man, don't be so old-fashioned."
L17,咁閪大個都唔化,这么大一个人别他妈的不开通,Stubborn to the end
L18,對唔住，失覺曬,对不起，我错了/对不起，是我不好,"I'm sorry, I was wrong / I'm sorry, it was my fault"
L18,對唔閪住,对不起,I`m so sorry
L18,對閪唔住,对不起,I`m so sorry
L18,so鳩rry,对不起,I`m so sorry
L19,唔係猛龍唔過江，唔系豬扒唔化妝,"广东话俗语：象征有实力或魄力的人跨地域闯荡,对相貌不佳者的戏称暗含对外貌与自信的讽刺 ""没有真本事的人不敢出来闯荡，只有不够漂亮的人才需要浓妆艳抹""","Cantonese proverb: Symbolizing someone with ability or courage venturing out into new regions, it's also a sarcastic term for someone with an unattractive appearance, subtly mocking their looks and self-confidence. ""Those without real talent dare not venture out; only those who aren't pretty enough need heavy makeup."""
L19,唔係猛龍唔過江，唔濑臭閪唔健康,广东话俗语：不过相对低俗，后半句形容不舔狗不健康,"Cantonese slang: However, it's relatively vulgar; the second half describes someone who isn't a sycophant as unhealthy."
L19,英雄難過美人關，肥妹踩冧斷背山,广东话俗语：英雄抵挡不住美色，只要是喜欢的断背也能变回正常,Cantonese proverb says: Even heroes can't resist beauty; a homosexual can become normal again if they like someone.
L19,唔係猛龍唔過江，只系猛男生痔瘡,他不想不是能力问题，是他生病了，长痔疮,It wasn't a matter of ability on his part; he was sick—he had hemorrhoids.
L20,啲牛肉點賣？,这牛肉多少钱,How much is this beef?
L20,幾錢/幾多錢,多少钱,How much
L20,條數點計先,这账怎么算？,How do I pay the bill?
L20,點計數,怎么算,how much
L20,冚唪唥幾錢 ,全部一共多少钱？,How much is it in total?
L20,夾埋幾錢/夾夾埋埋幾錢,一共多少钱？,How much in total?
L20,仲爭幾錢啊,还差多少钱,How much money is still needed?
L20,幾錢斤,多少一斤；怎么卖,How much
L20,平啲啦,便宜一点可以吗,Can you make it cheaper?
L20,唔該埋單,麻烦结账,Please check out.
L21,點不知衰收尾,谁知道是个坏结局,Who knew It's a bad ending
L21,點先算,什么才是…？,What is...?
L21,點知嗟,我怎么知道；发脾气,How would I know; losing my temper
L21,點估到/點估計到,没想到；根據上下文翻譯成 （猜測）,How to estimate
L21,冇閪諗到/冇諗閪到/諗閪唔到/諗唔閪到,真他妈没想到,I never expected this.
L21,原本以為佢要競選到底，點不知佢退選,原本还表示要竞选到底的他，后来却出乎意料地宣布退选。,"He had originally declared his intention to run to the end, but unexpectedly announced his withdrawal from the race."
L22,搞出個大頭佛你話點收科,惹出大麻煩，你说怎么办,What do you suggest we do if we get into big trouble?
L22,今次呢单嘢可以點收科？,这次这件事能怎么收场？,How will this matter be resolved?
L22,而家个计划畀佢搅到唔汤唔水，都唔知點收科,如今这个计划让他弄得不三不四，也不知道怎样收场,Now he's made a mess of the plan and doesn't know how to salvage it.
L22,引導性問題錯怪子女點算好？,引导性问题错怪子女应该怎么办？,What should you do if you mistakenly blame your children for misguided questions?
L23,你水我啊？/你昆我啊？/你滚我啊？/你老點我啊？/你搵我笨？,你骗我啊？；特指被认识的人骗,Are you lying to me?; specifically refers to being lied to by someone you know.
L23,你造馬啊？,设局骗你,Setting a trap to deceive you
L23,你地扯貓尾,两个人一起骗你,Two people lied to you
L23,搞咩大龍鳳啊,一群人骗你,A group of people are lying to you
L23,你想搏我懵？,涉及身体的，在被非礼的时候使用。也可是是疑问对方是不是想骗自己,"When it involves the body, it's used when being sexually assaulted. It can also be used to question whether the other person is trying to deceive you."
L23,你搏大雾？,浑水摸鱼,Fishing in troubled waters
L23,你當我老襯啊？/你當我水鱼啊？/你當我LULU啊？,当你不是人那样看待来骗的,You deceive people by viewing them as inhuman.
L23,你車大炮？/你講大話？/你裝我彈弓？,传统同说法：你敢骗我？,The traditional way to say it is: You dare to lie to me?
L23,呃神骗鬼,言语欺骗的,Verbal deception
L23,你摆我上檯/你氹我落沓/你过我一栋/你跣我一镬,你陷害我？,You framed me?
L24,開會嘅人點止咁少人啊？,还会不止这么少人吧？,Not only these few people are attending this meeting.
L24,點止咁簡單,没那么简单,it's not so simple 
L25,隨你點講都好,随便你怎么说,You can say whatever you want.
L25,點都好啦,无论怎么样,Whatever.
L26,先生，點得餸未啊？,先生，能点菜了吗？,"Sir, are you ready to order?"
L26,點咗啲咩餸,点了什么菜,What dishes did you order?
L26,睇下你嗌啲咩也食,看看你点了什么菜,See what dishes you ordered
L26,唔該，寫嘢/唔該，落單,服务员，叫菜,"Waiter, order the food."
L26,食咗啲咩餸,吃了什么菜,What dishes did you eat?
L26,點咗咩嘢/點咗咩,点了什么,What did you order?
L26,唔该，點菜,麻烦服务员，过来点菜,"Excuse me, waiter, could you come and take our order?"
L27,噉點係啊,那怎么行；那怎么好意思呢,That won't do.
L27,唔閪喺啊嘛,那怎么行；不是吧；那怎么好意思呢,OMG
L27,a:你出来我预埋你。 b:噉點係吖,a:你一起出来玩吧，我算了你一份。 b:怎么好意思啊，十分感激,"A: Come along and hang out with me, I'll charge you for your meal. B: Oh, no, thank you so much!"
L27,點閪係啊,不是吧，太他妈客气了,Seriously? That's way too polite!
L27,客鳩氣,客气什么啊,Why be so polite?
L28,睇下點心車有咩啱嘅,看看点心车有没有想吃的,Let's check the snack cart to see if there's anything we want to eat.
L29,點錯相俾人打,误认为目标人物挨打,Mistakenly believing the target was beaten
L30,點去公園先最方便,去这个公园怎么样比较方便,What is the most convenient way to go to the park?
L30,呢度點去？,这里怎么去？,How do I get there from here?
L30,點到即止，咪再浪費時間,点到为止，别再浪费时间了,"That's enough, don't waste any more time."
L32,我覺得几好，你點睇？,我觉得挺好的，你感觉如何？,"I think it's great, what do you think?"
L32,無論旁人點睇,无论旁人怎么看,Whatever how others think
L32,a：點睇？  b：你扎主意囖,a：你怎么看？   b：你说的算吧,A: What do you think? B: You decide.
L33,點解你要噉,为什么你要这样,Why do you want to do this?
L33,點解會噉嘅？,为什么会这样,Why is this happening?
L33,呢隻字點解？,这个字怎么理解,What does this word mean?
L33,呢個結點解？,这个结怎么解,How is this knot untied?
L33,何解大熱天時都唔開冷氣？,怎么夏天都不开空调,Why don't you turn on the air conditioner in the summer?
L33,因乜解究,因为什么佢解释这个原因,Why did he explain this reason?
L34,點話點好啦，我食乜都得,都可以，我吃什么都行,"As you like , I can eat whatever."
L34,點撚樣都得,怎么样都可以,Anything is fine
L34,你話乜就乜,你说什么就什么,Whatever you say.
L34,你話咩就咩,你说什么就什么,Whatever you say.
L34,你話事,你说什么就什么,Whatever you say.
L35,契弟,不是很熟可以利用的人,Not a very familiar person who can be used
L35,普通fan,普通朋友,common friend
L35,唔係好熟,不是很熟悉,common friend
L35,食過幾次飯,吃过几次饭；没见几次,We've had a few meals together; we haven't met many times.
L35,同佢熟個閪,和他才不熟呢；地道接地气的说法,I'm not familiar with him at all.
L35,識佢老鼠/識佢老母,和他才不熟呢，不认识他；不想让人知道和对方的关系,I'm not familiar with him at all; I don't know him. I don't want anyone to know about my relationship with him.
L36,交通燈，點紅點綠,可描述人一会儿叫你这样一会儿叫你那样就像交通灯那样闪来闪去,"It can describe someone calling you this one minute and that the next, like a traffic light flashing back and forth."
L36,稳笨柒,不知道有没有小伙伴知道这句俗语真正的含义以及相关的典故？,Describing you as being misled
L36,稳我笨,占我便宜,Take advantage of me
L36,個風水佬點紅點綠冇句真,那个风水师忽悠你 没一句真话,The fortune teller says nothing true but nonsense.
L36,老點你就真,忽悠你才对；绝对肯定语气,You're just kidding; it's an absolute statement.
L36,撚化,忽悠,Deceive
L36,昆鳩人,忽悠人,Deceive
L36,水鳩人,忽悠人,Deceive
L36,滚紅滚綠,形容你被人误导,Describing you as being misled
L37,你想點啊又/又想點啊你/你又想點啊/點啊你又想,你又想怎么样,What do you want now?
L37,想點就點,想怎样就怎样,Do whatever you want
L37,想點閪樣/想點撚樣//想點柒樣/想點鳩樣,想怎么样；不耐烦,What do you want; impatience
L37,諗住點收科,想好了怎么办没,Have you figured out what to do?
L37,佢唔去喔，你諗住點啊,他不去窝，你有什么决定,"He won't go to the nest, what's your decision?"
L37,哗！搞啲咁噶嘢，想點撚樣/哗！搞啲咁噶嘢，想點柒樣,哇！弄成这样，到底怎么想的,"Wow! What were they thinking, making it like this?"
L38,将啲閪嘢擗埋一二邊,把这些破事扔在一边去；表示本来有很多,Put these trivial matters aside；It means there were originally many
L38,唔緊要嘅嘢放埋一邊,不要紧的事情/东西放在一边；表示本来有很多,Put unimportant things aside.；It means there were originally many
L39,将你啲烦嘢抌埋一二邊,把你的烦恼甩在一边；表示本来有很多,Leave your troubles behind.；It means there were originally many
L39,冇用噶嘢抌埋一二邊,把没用的东西甩在一边；表示本来有很多,Throw the useless things aside；It means there were originally many
L40,将啲閪嘢擗一邊,把这些破事扔在一边；口语化,Put these trivial matters aside；colloquial
L41,袋垃圾，你咪抌一二邊咯,这袋垃圾，你就随便扔吧,Just throw this bag of trash away wherever you like.
L42,做乜抌啲垃圾過離,干嘛扔垃圾过来,Why are you throwing trash over here?
L42,出門記得抌垃圾,出门前记得扔垃圾,Remember to throw away your trash before you leave home.
L42,乱抛垃圾,乱扔垃圾：行为随意,Littering: Random Behavior
L43,掟煲唔掟蓋,藕断丝连,Lotus root broken but still connected by threads
L43,掟煲费,分手费用,Breakup fee
L43,掟煲唔掟蓋，打翻場友誼賽,虽然分手了，还能约炮,"Even though we broke up, I can still hook up with other people."
L44,啲嘢發晒毛，揼咗佢啦/掉咗佢啦/倒咗佢啦,东西发霉了扔了它,"If something gets moldy, throw it away."
L44,抌撚咗佢啦/抌閪咗佢啦/抌撚柒佢啦/抌撚鳩佢啦,扔了它吧；粗俗说法,Throw it away; a vulgar way of saying it.
L44,抌咗啲嘢佢；掉咗啲嘢佢；倒咗啲嘢佢,把东西倒掉/把东西扔掉,Throw things away
L45,弹撚開/弹鳩開,滚开；最快的速度,Get out of here; at the fastest speed
L45,行柒開/行撚開,走开；粗俗说法,Go away; vulgar expression
L45,死開啲/死閪開/死撚開,死开；粗俗说法,Get out of here; vulgar expression
L45,走開吖，咪埋離/走開吖，咪過離,走开啊，你不要过来；讨厌，害怕,"Go away, don't come any closer; I hate it, I'm scared."
L45,你同我躝開,你给我滚开,Get out of my way!
L45,你同我躝屍趷路/你同我躝屍趷羅拔迪尼路,你给我滚开,Get out of my way!
L45,死埋一邊/死埋一二邊,滚去别的地方,Go somewhere else
L45,躝,滚,Get out！！！
L45,过主啦，唔唔歡迎你,走吧，这里不欢迎,"Let's go, you're not welcome here."
L45,趷撚開/趷閪開,让开；让一点位置出来,Make way; make some room.
L46,抌咗手上啲嘢佢,把手上的东西扔掉,Throw away what you're holding
L46,抌閪咗手上啲嘢佢/抌撚咗手上啲嘢佢,把手上的东西扔掉,Throw away what you're holding
L47,放假去邊度躝街,放假去哪里玩,Where to go for vacation?
L47,哨街咯去,出去吃东西咯,Let's go out to eat!
L47,出门未,出门没有,Did you go out?
L48,一嘢撻落地下,一下子摔在地上特别疼,It hurts a lot when you fall to the ground.
L48,用力撻落地,用力甩在地上,Throw it forcefully to the ground
L49,飛對拖鞋過嚟,扔一样东西来，扔过来速度很快，（對拖鞋）=一双拖鞋,Throw a pair of slippers over. It was thrown very fast.
L49,啲消息飛离飛去,消息传来传去,Too many messages
L50,俾人割韭菜，佢揼春囖,给人割韭菜了，她后悔莫及,She regretted betraying her friends and exploiting them.
L50,隻股票今朝升到叭叭聲，早知尋日入定貨啦，真係揼春。,真后悔，那只股票今天涨了，早知道昨天加仓,I really regret it; that stock went up today. I should have bought more yesterday.
L51,猜包剪𢱕,玩石头剪刀布,paper scissors rock
L51,呈尋磨較叉燒包,包剪锤的另外一个地道说法，失传已久,Another authentic way of playing rock-paper-scissors has been lost for a long time.
L51,呈尋磨較叉燒包，老鼠唔食香口膠，要食豆沙包,当中每分句配合一個出拳回合，合成「三盘两胜」。亦有讲成「呈尋磨較叉燒包，老鼠唔食豆沙包」的兩盘組合，因为连胜就没必要有第三局,"Each segment of the game is paired with a punch, forming a ""best-of-three"" match. There's also a saying that it's like ""a mouse won't eat a red bean bun,"" implying that a winning streak eliminates the need for a third round."
L52,桑拿𢱕骨,桑拿按摩,Sauna and Massage
L52,𢱕骨場,按摩院、按摩店,"Massage parlor, massage shop"
L52,𢱕骨妹,按摩女郎,Massage girl
L52,𢱕邪骨,特殊服务的按摩,Special massage services
L53,畀人𢱕兵,被抢劫,Robbed
L54,俾啲颜色佢睇下,给她/他点颜色看看,Show him/her what's what.
L54,整镬杰噶佢嘆下/整鋪杰噶佢嘆下,给她/他点颜色看看,Show him/her what's what.
L54,俾佢試下你有几打得,给她/他看看你有多能打,Show her/him how good you are at fighting
L55,呢碟餸都几抌功夫,这道菜都挺多工序的,This dish involves quite a few steps.
L55,俾多三日時間你，咪再抌功夫喔,再给你三天时间，别再延迟时间了,I'll give you three more days. Don't delay any longer.
L56,抌低佢重新出发好過啦,抛弃他/她重新出发,Abandon him/her and start over
L56,抌得低佢咩,你能放下，忘记他/她吗,Can you let go and forget him/her?
L57,幾有吉屎,挺有本事,Quite capable
L57,幾鳩屎,挺有本事,Quite capable
L57,夠薑你就過嚟,有本事你就过来,Come on over if you dare!
L57,夠姜岀嚟隻揪,有勇气的话就出来单挑,"If you have the guts, come out and fight one-on-one."
L57,夠沙𦢊岀嚟隻揪,有勇气的话就出来单挑,"If you have the guts, come out and fight one-on-one."
L57,你夠姜就放馬過嚟，我唔驚你咖,你有胆量就放马过来，我不怕你的,"Bring it on if you dare, I'm not afraid of you."
L57,你未死過咪放馬過嚟囖，我唔卸你咖,你有胆量就放马过来，我不怕你的,"Bring it on if you dare, I'm not afraid of you."
L58,唔點下佢唔識醒,不提醒一下他/她不聪明,He/She isn't smart if I don't remind him/her.
L59,呃鬼食豆腐,用低级容易失传的谎言佢哄骗人, to deceive somebody using a poor excuse or lies that are easily seen through; lterally: to trick a ghost to eat bean curd
L59,老點我你就叻,骗我你就厉害；形容当事人比较单纯经常被骗,"""You're amazing if you lie to me"" describes someone who is naive and easily deceived."
L59,坤人噶,割韭菜的,milking me dry;fleecing us
L59,老坤,经常骗人的,Often lying
L59,呃鳩我,想骗我？,Trying to fool me?
L59,稳笨柒,形容你被人误导,Describing you as being misled
L60,水鳩人,骗人,Lies
L60,呃鬼食道符,骗鬼吃最怕的道符；也就是说你说了一个鬼都不会信的谎言,"You tricked the ghost into eating the most feared talisman; in other words, you told a lie that even a ghost wouldn't believe."
L60,呃鬼食豆腐咩，鬼信你,骗人的吧，鬼才信你,"You're kidding, no one would believe you."
L61,侧侧膊唔多覺,一个人行动闪闪缩缩，浑水摸鱼,"One person acts furtively and stealthily, taking advantage of the chaos."
L61,有功佢就去领，出咗事就侧侧膊,有功劳他就去认，出了问题他就推卸责任,"He takes credit for his achievements, but shirks responsibility when problems arise."
L62,你睇佢成個壽頭噉,你看她/他多么傻，感觉很低能,"Look how silly she/he is, he/she seems so stupid."
L62,正一柒頭,真是傻子,What an blockhead！
L62,佢成嚿大番薯噉，點極都唔明,他真的很笨，说真详细都明白,He's like an idiot. He couldn't understand why I am saying no matter how many times I explained to him.
L62,烚熟狗頭,容人龇牙咧嘴地笑的样子,The way he grinned with his teeth showing.
L62,瞬间变柒頭,一下子变傻了,Suddenly became stupid
L62,豬頭炳,比喻像猪一样蠢,A metaphor for being as stupid as a pig
L63,傻傻閪閪冇下低,傻傻的没鸡巴,"Dumb and stupid, no dick"
L63,咪傻傻閪閪噉俾人揾笨啦,别傻傻的给人骗啦,Don't be silly and get scammed!
L63,佢咁大個人，仲系蒸生瓜咁樣,他都这么大年纪了，（待人接物）还傻呼呼的，像个不懂事的孩子一样,"He's so old, yet he's still so naive and clueless in his interactions with others, like an immature child."
L63,蒸生瓜，腎腎哋（侲侲哋）,歇后语：瓜还没完全熟透，还处于半生熟的状态，形容人不成熟，傻傻的,Chinese proverb: The melon isn't fully ripe yet; it's still in a semi-ripe state. This is used to describe a person as immature and foolish.
L63,死傻閪,死沙雕,tosser
L63,你係咪傻閪啊,你是不是傻,are you Stupid?
L63,傻閪啊你,死沙雕,tosser
L63,傻下柒下,傻傻的,Stupid
L64,你揾咗條水魚翻離，几時劏咗佢,你找了个冤大头回来，什么时候捞一笔,You've brought back a sucker; when are you going to make some money off him?
L64,做老襯,对亲家；原意两个男生同时和一个女生谈恋爱,To in-laws; originally meant two boys dating the same girl at the same time.
L64,你揾咗个老襯,找了个男朋友；有一种找了个大冤种回来的意思,I found a boyfriend; It has the connotation of finding a great traitor.
L64,俾人揾笨,被人占便宜了,I was taken advantage of
L64,晚晚陪契爷,每晚要陪干爹；一般指年轻女生服侍年纪大的男生目的只想在他身上捞一笔,I have to spend every night with my godfather.；This generally refers to a young woman serving an older man with the sole purpose of profiting from him.
L64,冇信佢，明显搵笨柒,不要相信他/她，明显在欺骗你,"Don't believe him/her, they are clearly deceiving you."
L64,俾人揾笨嘅人就系水鱼,给人占便宜的人就是水鱼了,People who let others take advantage of them are suckers.
L65,傻閪有好多种，好似你咁真係第一次见，傻到閪噉,傻子有很多种，像你一样还是第一次遇见，真的傻到一个极点,"There are many kinds of fools, but I've never met one like you before. You're truly foolish to the extreme."
L65,到宜家都唔知錯系邊度，真系傻到冇朋友,到现在都不知道问题出在哪里，真的傻到一个点,I still don't know where the problem lies; I'm incredibly stupid.
L66,咁戇鳩噶嘢你都做？,这么不应该的事情你都做？对你没好处,You actually did something so wrong? It's not good for you.
